table,dgp,rep,seed,theta_seed,n,d,p,m_min,m_max,method,solver,init,S,S_effective,optimizer,lr,lambda,epochs,batch_size,device,n_workers,time_total,time_per_iter,time_per_epoch,init_time,final_loss,mse,status,error,timestamp
1,A,0,1000,1233,1000,5000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,8330.577590451983,395.0032139917486,,430.5133106170106,,0.07332917234574032,ok,,2026-01-30T13:13:44.427000
1,A,1,1001,1233,1000,5000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,8330.522469247982,394.6245110150485,,438.0322489470127,,0.07145462936592976,ok,,2026-01-30T15:32:35.650676
1,A,2,1002,1233,1000,5000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,8333.76568720903,394.7971307855507,,437.82307149801636,,0.0695870553186352,ok,,2026-01-30T17:51:26.804809
1,A,3,1003,1233,1000,5000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,8323.453676483012,394.76105982374867,,428.2324800080387,,0.07528778445263358,ok,,2026-01-30T20:10:21.224837
1,A,4,1004,1233,1000,5000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,8338.139036877023,395.02624379780025,,437.6141609210172,,0.06945078151231206,ok,,2026-01-30T22:29:05.317066
1,A,5,1005,1233,1000,5000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,8332.673722125997,394.52804598014916,,442.11280252301367,,0.06782276166502128,ok,,2026-01-31T00:48:04.107099
1,A,6,1006,1233,1000,5000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,8338.624373729981,395.2698185516987,,433.228002696007,,0.07513855815184478,ok,,2026-01-31T03:06:57.429642
1,A,7,1007,1233,1000,5000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,8316.27100620995,394.1409088407469,,433.4528293950134,,0.07980618663281548,ok,,2026-01-31T05:25:56.694829
1,A,8,1008,1233,1000,5000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,8319.446672327002,394.0004718530487,,439.43723526602844,,0.06844017336056124,ok,,2026-01-31T07:44:33.597845
1,A,9,1009,1233,1000,5000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,8435.198059434013,399.7833087933483,,439.53188356704777,,0.07137249420466149,ok,,2026-01-31T10:03:13.682933
1,A,10,1010,1233,1000,5000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,8305.69973430701,393.7287396057509,,431.1249421919929,,0.07360817813341601,ok,,2026-01-31T12:23:49.531337
1,A,11,1011,1233,1000,5000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,8301.468374677002,393.34524382590024,,434.5634981589974,,0.06688425907299426,ok,,2026-01-31T14:42:15.862085
1,A,12,1012,1233,1000,5000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,8304.613584166975,393.41877941809946,,436.237995804986,,0.06380129347600255,ok,,2026-01-31T17:00:37.965530
1,A,13,1013,1233,1000,5000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,8300.13361338398,393.30511840904944,,434.03124520299025,,0.07228845176801879,ok,,2026-01-31T19:19:03.219096
1,A,14,1014,1233,1000,5000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,8297.83414040599,393.0381345509988,,437.07144938601414,,0.0758666902465213,ok,,2026-01-31T21:37:23.996661
1,A,15,1015,1233,1000,5000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,8308.796147698013,393.4829349653504,,439.137448391004,,0.06744339930539334,ok,,2026-01-31T23:55:42.477159
1,A,16,1016,1233,1000,5000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,8304.25712492998,393.33878509034696,,437.48142312304117,,0.0661004503903608,ok,,2026-02-01T02:14:11.904321
1,A,17,1017,1233,1000,5000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,8299.04663547303,393.1412754111516,,436.221127249999,,0.0725739630002385,ok,,2026-02-01T04:32:36.793291
1,A,18,1018,1233,1000,5000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,8294.328703178908,393.14898670924595,,431.3489689939888,,0.06812727404694081,ok,,2026-02-01T06:50:56.480195
1,A,19,1019,1233,1000,5000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,8295.555073142052,393.16123368190017,,432.3303995040478,,0.06940862716208365,ok,,2026-02-01T09:09:11.446604
1,A,20,1020,1233,1000,5000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,8299.692385473056,393.1929216596007,,435.833952281042,,0.07294649629560442,ok,,2026-02-01T11:27:27.640117
1,A,21,1021,1233,1000,5000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,8295.474237387069,392.91116750540675,,437.2508872789331,,0.07857527905080526,ok,,2026-02-01T13:45:47.966033
1,A,22,1022,1233,1000,5000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,8302.746141851065,393.2221694807522,,438.30275223602075,,0.07707408329404518,ok,,2026-02-01T16:04:04.079905
1,A,23,1023,1233,1000,5000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,8298.059919279069,393.13770611600484,,435.30579695897177,,0.07395918392079305,ok,,2026-02-01T18:22:27.456676
1,A,24,1024,1233,1000,5000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,8308.840478274971,393.81475500150117,,432.54537824494764,,0.06860936403814695,ok,,2026-02-01T20:40:46.159688
1,A,25,1025,1233,1000,5000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,8306.09794399899,393.5425824629492,,435.2462947400054,,0.07237002959673505,ok,,2026-02-01T22:59:15.639987
1,A,26,1026,1233,1000,5000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,8308.674772690982,393.5867540912994,,436.9396908649942,,0.06973491465394373,ok,,2026-02-02T01:17:42.374120
1,A,27,1027,1233,1000,5000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,8295.421217452036,393.15052080960015,,432.4108012600336,,0.07075694132851945,ok,,2026-02-02T03:36:11.682936
1,A,28,1028,1233,1000,5000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,8305.69388580299,393.6801757742011,,432.0903703189688,,0.07178250187362502,ok,,2026-02-02T05:54:27.747937
1,A,29,1029,1233,1000,5000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,8292.513734971057,393.0143809920526,,432.2261151300045,,0.06403252662893318,ok,,2026-02-02T08:12:54.079711
1,A,30,1030,1233,1000,5000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,8299.954809508054,393.1852666375984,,436.24947675608564,,0.06645094247837592,ok,,2026-02-02T10:31:07.230395
1,A,31,1031,1233,1000,5000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,8298.404085468967,393.18957102589775,,434.61266495101154,,0.07875000571306595,ok,,2026-02-02T12:49:27.823476
1,A,32,1032,1233,1000,5000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,8303.251124904025,393.37370589789936,,435.77700694603845,,0.07762582331092696,ok,,2026-02-02T15:07:46.866259
1,A,33,1033,1233,1000,5000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,8307.15605503507,393.6419218117022,,434.3176188010257,,0.06678061621602957,ok,,2026-02-02T17:26:10.751560
1,A,34,1034,1233,1000,5000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,8281.195150638,392.6677405235008,,427.8403401679825,,0.07895847877962217,ok,,2026-02-02T19:44:38.541208
1,A,35,1035,1233,1000,5000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,8306.992855800083,393.2783356039028,,441.4261437220266,,0.0726488742031042,ok,,2026-02-02T22:02:40.372435
1,A,36,1036,1233,1000,5000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,8302.667317320942,393.4522410094971,,433.6224971310003,,0.0670363116342559,ok,,2026-02-03T00:21:08.001815
1,A,37,1037,1233,1000,5000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,8306.814270089031,393.5483880831045,,435.846508426941,,0.07774849849616854,ok,,2026-02-03T02:39:31.302561
