table,dgp,rep,seed,theta_seed,n,d,p,m_min,m_max,method,solver,init,S,S_effective,optimizer,lr,lambda,epochs,batch_size,device,n_workers,time_total,time_per_iter,time_per_epoch,init_time,final_loss,mse,status,error,timestamp
1,A,0,1000,1233,1000,5000,5,200,300,idc,cvxpy_scs,pairwise,10,10,,,,,,,28,4501.5731850650045,409.2840618654009,,408.7325664109958,,0.08398196474251801,ok,,2026-01-27T23:31:50.076214
1,A,1,1001,1233,1000,5000,5,200,300,idc,cvxpy_scs,pairwise,10,10,,,,,,,28,4370.714686453983,393.3896388678986,,436.8182977749966,,0.09877726720821378,ok,,2026-01-28T00:46:52.284612
1,A,2,1002,1233,1000,5000,5,200,300,idc,cvxpy_scs,pairwise,10,10,,,,,,,28,4355.461167890986,391.85519630429917,,436.90920484799426,,0.08757398326716023,ok,,2026-01-28T01:59:43.640249
1,A,3,1003,1233,1000,5000,5,200,300,idc,cvxpy_scs,pairwise,10,10,,,,,,,28,4361.483291504992,393.26620570529775,,428.8212344520143,,0.1098302829236101,ok,,2026-01-28T03:12:19.737356
1,A,4,1004,1233,1000,5000,5,200,300,idc,cvxpy_scs,pairwise,10,10,,,,,,,28,4370.505536281009,393.35615108700296,,436.9440254109795,,0.09596194823662836,ok,,2026-01-28T04:25:01.867532
1,A,5,1005,1233,1000,5000,5,200,300,idc,cvxpy_scs,pairwise,10,10,,,,,,,28,4367.363558704994,392.6702240362996,,440.6613183419977,,0.08765043196421568,ok,,2026-01-28T05:37:53.020533
1,A,6,1006,1233,1000,5000,5,200,300,idc,cvxpy_scs,pairwise,10,10,,,,,,,28,4363.386178407993,393.1896702226979,,431.48947618101374,,0.09970893725362197,ok,,2026-01-28T06:50:41.019958
1,A,7,1007,1233,1000,5000,5,200,300,idc,cvxpy_scs,pairwise,10,10,,,,,,,28,4368.363813163014,393.48546937440113,,433.5091194190027,,0.09433384183758008,ok,,2026-01-28T08:03:25.048458
1,A,8,1008,1233,1000,5000,5,200,300,idc,cvxpy_scs,pairwise,10,10,,,,,,,28,4385.849093209981,394.55880854289865,,440.261007780995,,0.08275225329373165,ok,,2026-01-28T09:16:14.058407
1,A,9,1009,1233,1000,5000,5,200,300,idc,cvxpy_scs,pairwise,10,10,,,,,,,28,4372.173157349986,393.19703008989745,,440.20285645101103,,0.08632390559894128,ok,,2026-01-28T10:29:20.548335
1,A,10,1010,1233,1000,5000,5,200,300,idc,cvxpy_scs,pairwise,10,10,,,,,,,28,4363.614637256978,393.1101777021977,,432.5128602350014,,0.09200259390567184,ok,,2026-01-28T11:42:13.375292
1,A,11,1011,1233,1000,5000,5,200,300,idc,cvxpy_scs,pairwise,10,10,,,,,,,28,4373.436277683999,393.95795971780024,,433.85668050599634,,0.08984805677947719,ok,,2026-01-28T12:54:57.636317
