table,dgp,rep,seed,theta_seed,n,d,p,m_min,m_max,method,solver,init,S,S_effective,optimizer,lr,lambda,epochs,batch_size,device,n_workers,time_total,time_per_iter,time_per_epoch,init_time,final_loss,mse,status,error,timestamp
1,C,0,1000,1233,1000,5000,5,500,600,idc,scs,pairwise,20,20,,,,,,cpu,,,,,,,0.040497,ok,,2025-02-16
1,C,1,1001,1233,1000,5000,5,500,600,idc,scs,pairwise,20,20,,,,,,cpu,,,,,,,0.036562,ok,,2025-02-16
1,C,2,1002,1233,1000,5000,5,500,600,idc,scs,pairwise,20,20,,,,,,cpu,,,,,,,0.036865,ok,,2025-02-16
1,C,3,1003,1233,1000,5000,5,500,600,idc,scs,pairwise,20,20,,,,,,cpu,,,,,,,0.035062,ok,,2025-02-16
1,C,4,1004,1233,1000,5000,5,500,600,idc,scs,pairwise,20,20,,,,,,cpu,,,,,,,0.027323,ok,,2025-02-16
1,C,5,1005,1233,1000,5000,5,500,600,idc,scs,pairwise,20,20,,,,,,cpu,,,,,,,0.036743,ok,,2025-02-16
1,C,6,1006,1233,1000,5000,5,500,600,idc,scs,pairwise,20,20,,,,,,cpu,,,,,,,0.036060,ok,,2025-02-16
1,C,7,1007,1233,1000,5000,5,500,600,idc,scs,pairwise,20,20,,,,,,cpu,,,,,,,0.032842,ok,,2025-02-16
1,C,8,1008,1233,1000,5000,5,500,600,idc,scs,pairwise,20,20,,,,,,cpu,,,,,,,0.037524,ok,,2025-02-16
1,C,9,1009,1233,1000,5000,5,500,600,idc,scs,pairwise,20,20,,,,,,cpu,,,,,,,0.034521,ok,,2025-02-16
