table,dgp,rep,seed,theta_seed,n,d,p,m_min,m_max,method,solver,init,S,S_effective,optimizer,lr,lambda,epochs,batch_size,device,n_workers,time_total,time_per_iter,time_per_epoch,init_time,final_loss,mse,status,error,timestamp
1,A,0,1000,1233,1000,500,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,126.30726637400039,5.985105365000072,,6.605159073998948,,0.03363076602749501,ok,,2026-01-26T04:15:22.808747
1,A,1,1001,1233,1000,500,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,126.41557790800107,5.976205577300061,,6.891466361999846,,0.011514923886116446,ok,,2026-01-26T04:17:29.550148
1,A,2,1002,1233,1000,500,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,124.31226886699915,5.867706918699969,,6.958130492999771,,0.041550133839934285,ok,,2026-01-26T04:19:36.395492
1,A,3,1003,1233,1000,500,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,140.13403660199947,6.674004518999936,,6.653946222000741,,0.025133377318812593,ok,,2026-01-26T04:21:41.136753
1,A,4,1004,1233,1000,500,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,121.97251945399876,5.771102262199929,,6.550474210000175,,0.029083055969332094,ok,,2026-01-26T04:24:01.702224
1,A,5,1005,1233,1000,500,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,125.3354292189997,5.9288397712499314,,6.758633794001071,,0.012947975594489992,ok,,2026-01-26T04:26:04.109580
1,A,6,1006,1233,1000,500,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,126.42063939299987,5.976659198000016,,6.887455432999559,,0.01074768852297394,ok,,2026-01-26T04:28:09.876490
1,A,7,1007,1233,1000,500,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,124.38952172099926,5.882209667499955,,6.7453283710001415,,0.024195776916818294,ok,,2026-01-26T04:30:16.728167
1,A,8,1008,1233,1000,500,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,132.65341040699968,6.295327237499987,,6.746865656999944,,0.012678096284486915,ok,,2026-01-26T04:32:21.550615
1,A,9,1009,1233,1000,500,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,121.82254869099961,5.750258578149987,,6.817377127999862,,0.01900927771600875,ok,,2026-01-26T04:34:34.641471
1,A,10,1010,1233,1000,500,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,123.37233374099924,5.828236968900001,,6.807594362999225,,0.014083109339872675,ok,,2026-01-26T04:36:36.897674
1,A,11,1011,1233,1000,500,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,121.31630010700064,5.72982314460005,,6.719837214999643,,0.01347819341386485,ok,,2026-01-26T04:38:40.704041
1,A,12,1012,1233,1000,500,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,125.61234041100033,5.949872915700053,,6.614882096999281,,0.033109784633543186,ok,,2026-01-26T04:40:42.453425
