table,dgp,rep,seed,theta_seed,n,d,p,m_min,m_max,method,solver,init,S,S_effective,optimizer,lr,lambda,epochs,batch_size,device,n_workers,time_total,time_per_iter,time_per_epoch,init_time,final_loss,mse,status,error,timestamp
1,A,0,1000,1233,1000,1000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,384.57155711700034,18.217085098449935,,20.22985514800166,,0.052705542082699966,ok,,2026-01-26T08:51:01.749184
1,A,1,1001,1233,1000,1000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,382.0114422429979,18.072954744949858,,20.552347344000736,,0.017394537486784777,ok,,2026-01-26T08:57:26.779785
1,A,2,1002,1233,1000,1000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,389.5558393720021,18.471115819600165,,20.133522979998816,,0.02582536711711359,ok,,2026-01-26T09:03:49.247808
1,A,3,1003,1233,1000,1000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,405.0253703849994,19.235422359399855,,20.316923197002325,,0.02329320471027303,ok,,2026-01-26T09:10:19.263127
1,A,4,1004,1233,1000,1000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,395.3456752430029,18.748220902900176,,20.381257184999413,,0.032109906148644105,ok,,2026-01-26T09:17:04.744039
1,A,5,1005,1233,1000,1000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,394.49848337799995,18.699250230500002,,20.513478767999914,,0.05406300894140196,ok,,2026-01-26T09:23:40.544173
1,A,6,1006,1233,1000,1000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,397.27770305399827,18.872017581449835,,19.837351425001543,,0.035773781438767194,ok,,2026-01-26T09:30:15.501775
1,A,7,1007,1233,1000,1000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,390.0370094280006,18.523129483950107,,19.57441974899848,,0.06370004037431864,ok,,2026-01-26T09:36:53.246376
1,A,8,1008,1233,1000,1000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,400.41637153800184,19.04338297334998,,19.548712071002228,,0.10373284508667027,ok,,2026-01-26T09:43:23.732554
1,A,9,1009,1233,1000,1000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,384.5258034849976,18.186453938749946,,20.79672470999867,,0.03266009631768739,ok,,2026-01-26T09:50:04.594853
1,A,10,1010,1233,1000,1000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,385.9742884829975,18.275831498799924,,20.457658506998996,,0.06647198291742103,ok,,2026-01-26T09:56:29.563621
1,A,11,1011,1233,1000,1000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,383.0255096469991,18.08866898419983,,21.252129963002517,,0.03545929231161048,ok,,2026-01-26T10:02:56.000121
1,A,12,1012,1233,1000,1000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,383.99361321099786,18.189441567249922,,20.204781865999394,,0.03555426798611186,ok,,2026-01-26T10:09:19.481218
1,A,13,1013,1233,1000,1000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,384.39056481900116,18.208104218600056,,20.228480447000038,,0.10741716700191069,ok,,2026-01-26T10:15:43.937846
1,A,14,1014,1233,1000,1000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,385.216987486001,18.259981158150005,,20.017364323000947,,0.06668088810021071,ok,,2026-01-26T10:22:08.786674
1,A,15,1015,1233,1000,1000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,394.47006822899857,18.712882945099956,,20.212409326999477,,0.0339630165316323,ok,,2026-01-26T10:28:34.461249
1,A,16,1016,1233,1000,1000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,397.7936232409993,18.86884358364987,,20.416751568001928,,0.0693640525821179,ok,,2026-01-26T10:35:09.385503
1,A,17,1017,1233,1000,1000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,395.1479204100033,18.7232365150001,,20.683190110001306,,0.026758791417289502,ok,,2026-01-26T10:41:47.632774
1,A,18,1018,1233,1000,1000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,399.07897602400044,18.91607887680002,,20.757398488000035,,0.05668514760129334,ok,,2026-01-26T10:48:23.231695
1,A,19,1019,1233,1000,1000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,380.96623195199936,18.025078286699863,,20.464666218002094,,0.04601802845540074,ok,,2026-01-26T10:55:02.771691
1,A,20,1020,1233,1000,1000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,380.38782422399527,17.99952082474956,,20.397407729004044,,0.03522095600296343,ok,,2026-01-26T11:01:24.198293
1,A,21,1021,1233,1000,1000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,394.4090733949997,18.701650142799917,,20.376070539001375,,0.06883789404091908,ok,,2026-01-26T11:07:45.042364
1,A,22,1022,1233,1000,1000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,433.69321591000335,20.68646910905045,,19.96383372899436,,0.06280864255113865,ok,,2026-01-26T11:14:19.910625
1,A,23,1023,1233,1000,1000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,393.8599947140028,18.65978678624997,,20.66425898900343,,0.046409470892096724,ok,,2026-01-26T11:21:34.058981
1,A,24,1024,1233,1000,1000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,395.2623911310002,18.78912361520015,,19.479918826997164,,0.06987134858150634,ok,,2026-01-26T11:28:08.372941
1,A,25,1025,1233,1000,1000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,396.0347792540051,18.819290407800146,,19.64897109800222,,0.05339151450791238,ok,,2026-01-26T11:34:44.098867
1,A,26,1026,1233,1000,1000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,397.8164197090009,18.886121861100037,,20.093982487000176,,0.07994274173719566,ok,,2026-01-26T11:41:20.597240
1,A,27,1027,1233,1000,1000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,396.1835454770044,18.837087312700532,,19.441799222993723,,0.038486861657940595,ok,,2026-01-26T11:47:58.859918
1,A,28,1028,1233,1000,1000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,398.6067177770019,18.88061001040005,,20.99451756900089,,0.07209523844467959,ok,,2026-01-26T11:54:35.492846
1,A,29,1029,1233,1000,1000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,380.29308547699475,18.00735516809982,,20.145982114998333,,0.03544843818054977,ok,,2026-01-26T12:01:14.567879
1,A,30,1030,1233,1000,1000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,382.66667494500143,18.12610699805009,,20.14453498399962,,0.027732948339068923,ok,,2026-01-26T12:07:35.313381
1,A,31,1031,1233,1000,1000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,430.8822137829993,20.551243312249788,,19.857347538003523,,0.04376097491941615,ok,,2026-01-26T12:13:58.463232
1,A,32,1032,1233,1000,1000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,396.42478264700185,18.797259929150094,,20.479584063999937,,0.02685023858104661,ok,,2026-01-26T12:21:09.792443
1,A,33,1033,1233,1000,1000,5,200,300,idc,cvxpy_scs,pairwise,20,20,,,,,,,28,397.8183485049958,18.92159084124978,,19.38653168000019,,0.021350775773988955,ok,,2026-01-26T12:27:46.673600
