table,dgp,rep,seed,theta_seed,n,d,p,m_min,m_max,method,solver,init,S,S_effective,optimizer,lr,lambda,epochs,batch_size,device,n_workers,time_total,time_per_iter,time_per_epoch,init_time,final_loss,mse,status,error,timestamp
1,A,0,1000,1233,1000,1000,5,200,300,idc,cvxpy_scs,pairwise,10,10,,,,,,,28,206.40470516200003,18.389208134799993,,22.512623814000108,,0.07393443351754858,ok,,2026-01-26T05:59:22.291331
1,A,1,1001,1233,1000,1000,5,200,300,idc,cvxpy_scs,pairwise,10,10,,,,,,,28,202.60448303799967,18.254260429999885,,20.061878738000814,,0.04176224067220987,ok,,2026-01-26T06:02:49.143359
1,A,2,1002,1233,1000,1000,5,200,300,idc,cvxpy_scs,pairwise,10,10,,,,,,,28,200.26570407100007,17.966430284700074,,20.601401223999346,,0.04400367194728479,ok,,2026-01-26T06:06:12.198066
1,A,3,1003,1233,1000,1000,5,200,300,idc,cvxpy_scs,pairwise,10,10,,,,,,,28,201.5784079920013,18.130095893399993,,20.277449058001366,,0.05217579812663415,ok,,2026-01-26T06:09:32.916350
1,A,4,1004,1233,1000,1000,5,200,300,idc,cvxpy_scs,pairwise,10,10,,,,,,,28,200.93013867400077,18.047406543599937,,20.45607323800141,,0.042508916853426656,ok,,2026-01-26T06:12:54.950436
1,A,5,1005,1233,1000,1000,5,200,300,idc,cvxpy_scs,pairwise,10,10,,,,,,,28,202.66126785699817,18.257437017199482,,20.08689768500335,,0.07726541692427458,ok,,2026-01-26T06:16:16.339811
1,A,6,1006,1233,1000,1000,5,200,300,idc,cvxpy_scs,pairwise,10,10,,,,,,,28,204.1205613489983,18.386691549399984,,20.253645854998467,,0.05162147120354831,ok,,2026-01-26T06:19:39.448179
1,A,7,1007,1233,1000,1000,5,200,300,idc,cvxpy_scs,pairwise,10,10,,,,,,,28,201.24340916399888,18.102283166599953,,20.22057749799933,,0.08508725103607842,ok,,2026-01-26T06:23:04.017345
1,A,8,1008,1233,1000,1000,5,200,300,idc,cvxpy_scs,pairwise,10,10,,,,,,,28,200.80844720900132,18.10165383599997,,19.79190884900163,,0.13928535785224994,ok,,2026-01-26T06:26:25.713897
1,A,9,1009,1233,1000,1000,5,200,300,idc,cvxpy_scs,pairwise,10,10,,,,,,,28,201.52246650899906,18.13965632290019,,20.125903279997146,,0.06104995085860541,ok,,2026-01-26T06:29:46.985023
1,A,10,1010,1233,1000,1000,5,200,300,idc,cvxpy_scs,pairwise,10,10,,,,,,,28,205.20509054899958,18.486323675699897,,20.34185379200062,,0.07368237851752786,ok,,2026-01-26T06:33:08.954016
1,A,11,1011,1233,1000,1000,5,200,300,idc,cvxpy_scs,pairwise,10,10,,,,,,,28,203.7857931110011,18.345159468999917,,20.33419842100193,,0.06903101204709665,ok,,2026-01-26T06:36:34.618182
1,A,12,1012,1233,1000,1000,5,200,300,idc,cvxpy_scs,pairwise,10,10,,,,,,,28,202.10799422100172,18.169324747800054,,20.41474674300116,,0.06736041153490527,ok,,2026-01-26T06:39:58.861260
1,A,13,1013,1233,1000,1000,5,200,300,idc,cvxpy_scs,pairwise,10,10,,,,,,,28,200.46990296599688,18.043690664699533,,20.03299631900154,,0.15356606340873658,ok,,2026-01-26T06:43:21.428830
